Date,Magnitude,Longitude,Latitude,Depth
5/31/1965 2:04,5.2,77.9474,32.5437,35
8/5/1966 1:03,5.3,79.664,32.724,28.4
10/20/1966 0:53,4.8,78.7126,33.5205,14.2
1/2/1967 22:17,4.7,79.0161,30.5633,24
1/5/1968 6:42,5,79.2792,30.3694,24
2/10/1968 17:03,5.1,78.512,34.0938,35
2/11/1968 2:25,4.7,78.4943,34.2293,35
2/11/1968 20:38,5.1,78.6915,34.1038,11.1
5/31/1968 3:01,5.1,79.8605,29.9754,16
11/5/1968 2:02,4.9,76.448,32.2765,14
3/3/1969 6:20,5.1,79.8801,29.9376,19.6
6/22/1969 1:33,5.4,79.3621,30.4377,16.8
1/17/1970 18:33,4.8,76.5469,32.5854,14
3/5/1970 18:34,4.8,76.5463,32.3233,14
8/11/1970 1:06,4.7,79.4465,34.1915,35
1/30/1971 20:15,4.8,79.2156,30.371,24
8/17/1972 18:14,5.3,78.4608,30.6988,28
9/6/1972 2:51,5.1,78.4001,32.4127,11.2
10/26/1972 14:05,4.7,76.5507,32.1412,11
12/16/1973 9:16,4.9,76.0987,32.3997,14.9
2/24/1974 21:32,4.9,78.4173,30.8866,10
7/7/1974 20:56,4.9,78.6953,30.5333,28
11/16/1974 16:18,4.9,76.236,32.9955,28
11/22/1974 6:51,4.7,76.5857,33.344,31
1/19/1975 8:00,5.1,78.6666,32.2332,12
1/19/1975 17:41,4.4,79.0806,32.6694,35
1/20/1975 13:24,4.7,78.377,32.1802,12
1/22/1975 17:26,4.8,78.6875,31.923,12
1/27/1975 8:10,5,78.5795,32.3233,13
1/27/1975 9:23,4.9,78.5976,32.0685,12
1/27/1975 15:58,4.6,78.29,32.7873,10
1/29/1975 15:49,4.9,78.6385,31.7898,12
1/31/1975 14:04,4.5,78.5174,32.1995,13
2/2/1975 19:14,5.2,78.465,32.4945,13
2/11/1975 6:41,4.7,78.6941,32.0702,12
3/10/1975 3:07,5,78.8224,32.1483,35
3/11/1975 13:39,4.8,78.547,32.0667,12
3/24/1975 20:53,4.7,78.4863,32.0268,12
3/26/1975 4:47,4.7,78.4609,31.8543,12
4/1/1975 16:18,4.6,78.4573,31.8669,12
4/9/1975 21:45,4.8,78.5734,31.9478,12
5/8/1975 11:56,4.8,78.5413,32.3599,13
5/11/1975 6:48,4.9,78.6289,31.9128,12
5/29/1975 20:37,4.8,78.416,31.9117,12
6/10/1975 9:44,5,78.4695,32.5363,13
7/2/1975 11:06,4.8,78.4882,32.475,13
7/19/1975 6:10,5.2,78.6034,31.8794,23.9
7/19/1975 7:26,4.4,78.6671,32.1059,12
7/21/1975 7:26,4.8,78.5052,32.0872,12
7/29/1975 2:40,5.6,78.4711,32.4541,13
8/23/1975 3:08,4.3,79.3241,30.5927,17
9/16/1975 4:20,4.7,76.2506,32.2933,14
9/19/1975 17:59,4.9,78.5725,31.9446,12
11/5/1975 0:35,5.1,78.8279,32.0127,35
11/6/1975 0:11,4.9,77.8465,29.7553,10
12/5/1975 7:37,5.4,76.0475,33.0132,23.3
12/10/1975 3:26,5.4,76.0926,32.8978,22
12/10/1975 5:03,4.9,76.2708,32.6941,20
12/11/1975 10:09,5.1,76.155,32.9437,28
1/7/1976 0:24,5.3,76.0629,32.9267,30.6
1/8/1976 22:34,4.9,76.1304,32.8945,28
1/9/1976 23:50,4.6,76.0411,32.6951,28
2/5/1976 12:04,5,76.959,31.2567,11
4/10/1976 7:09,4.1,76.4894,32.695,14
4/16/1976 20:15,4.1,76.4489,32.7403,20
5/6/1976 8:21,4.7,78.7624,31.6895,35
5/22/1976 18:32,4.6,76.0066,33.0315,28
7/6/1976 2:55,4.9,78.3934,32.3092,13
9/8/1976 20:13,5.4,78.7141,31.9638,5.9
9/29/1976 7:47,5,78.379,31.8406,10
10/3/1976 15:03,4.8,78.7818,31.9407,35
1/28/1977 3:48,4.8,78.1135,31.4598,8
2/19/1977 6:15,5.4,78.4045,31.7934,8.3
2/19/1977 6:39,4.6,78.3109,31.5844,32
3/27/1977 5:36,5.1,78.6638,32.6832,13
4/14/1977 18:26,4.5,78.4033,32.0907,12
4/20/1977 4:21,5,79.4144,30.4074,17
6/22/1977 15:53,4.9,76.0182,33.1136,28
10/19/1977 7:14,4.8,78.6032,32.7663,35
12/20/1977 19:12,4.8,76.3033,33.4032,26
12/21/1977 2:08,5,76.2084,33.4338,26
1/7/1978 7:23,4.7,79.4216,30.4851,17
1/15/1978 2:30,4.6,78.3705,31.8998,35
4/11/1978 7:55,4.6,78.8197,32.6036,10
6/14/1978 16:12,5,76.4876,32.1215,12.4
9/28/1978 5:32,5,76.0787,33.4389,26
5/11/1979 21:56,4.3,78.8999,32.1466,10
5/27/1979 6:11,4.8,76.4427,33.5446,31
6/11/1979 23:25,4.5,76.2353,33.1043,10
12/28/1979 1:59,5.1,78.4312,30.6741,28
