Date,mag,lon,lat,depth
2/1/1964,4.8,87.7167,27.366,21
5/24/1964,5.1,82.1363,30.0496,21
9/26/1964,6,80.452,29.8553,29.9
10/6/1964,5.2,80.9165,29.3238,17
11/9/1964,5.3,85.9256,29.5208,35
12/2/1964,5.2,81.2309,29.4573,20
1/12/1965,6.1,87.8286,27.3829,22.8
1/12/1965,5.3,87.6567,27.3269,21
3/18/1965,5.2,80.2798,29.5572,10
5/13/1965,5,80.267,29.8243,10
6/1/1965,5.3,83.0358,28.4637,35
6/17/1965,5.2,87.7178,31.8717,11.2
3/6/1966,6,80.5448,31.373,17.3
3/6/1966,5.4,80.4515,31.4191,35
3/17/1966,4.8,82.6689,31.6077,35
6/25/1966,4.8,82.0498,30.2342,35
6/27/1966,6,80.9233,29.7075,23.8
6/27/1966,5.3,80.8036,29.937,35
6/28/1966,4.9,80.8448,29.4786,17
10/5/1966,4.6,81.1259,29.3726,17
10/13/1966,4.5,80.2723,31.2783,10
11/5/1966,4.9,83.7887,28.2606,35
12/16/1966,5.9,80.8488,29.5431,15.8
12/18/1966,4.8,80.7404,29.556,17
12/21/1966,5.3,80.7498,29.6499,17
12/18/1967,5.1,81.7845,29.3059,31
5/27/1968,5.1,80.5117,29.6164,19
10/28/1968,4.8,86.0925,27.6128,19
12/5/1969,4.9,80.9907,29.007,35
2/12/1970,5.2,81.6066,29.1351,19.6
2/26/1970,5.2,85.8968,27.6028,19
2/26/1970,4.8,85.7833,27.1975,10
7/21/1970,5,84.7519,27.9666,12
5/3/1971,5.4,84.445,30.8184,14.2
10/24/1971,4.7,87.1952,28.1547,35
12/4/1971,5,87.7669,27.762,35
2/4/1972,5.1,84.4196,30.329,35
3/15/1972,5.2,84.3809,30.5793,12.5
4/28/1972,5,84.9209,31.3063,35
8/21/1972,4.8,87.9544,27.413,20
1/2/1973,5.1,88.0895,31.1744,40
2/10/1973,4.6,80.3806,30.2662,11
3/22/1973,5,87.1235,28.2085,28.6
4/4/1973,4.5,83.4722,30.8139,11
10/16/1973,5.1,82.8828,28.3748,25.4
3/3/1974,5.5,86.5245,30.6385,12.3
3/13/1974,4.5,81.2791,29.2377,27
3/24/1974,5.7,86.0684,27.7852,24
3/24/1974,5,85.8967,27.4549,19
5/6/1974,4.5,81.5732,29.2306,33
9/27/1974,5.7,85.4326,28.5856,47
10/31/1974,4.7,85.0751,31.5329,35
11/10/1974,4.7,86.4908,31.5592,35
12/23/1974,5.3,81.2625,29.3013,27
12/24/1974,4.7,86.5046,31.2576,26
1/31/1975,5.1,84.6786,28.0927,46.2
2/6/1975,4.8,87.492,27.7985,68
4/9/1975,4.9,84.9664,30.8095,35
4/24/1975,5,87.0013,27.4852,35
6/24/1975,4.9,87.5264,27.6554,10
9/6/1975,5.2,81.8084,29.187,13.5
9/8/1975,4.9,84.8503,31.5164,35
9/27/1975,4.5,85.7837,30.3953,35
11/21/1975,4.9,86.5438,27.0106,10
11/26/1975,5.1,87.6792,28.0615,71
5/10/1976,5.3,81.5126,29.3234,19.5
7/23/1976,4.9,83.6167,31.8153,35
9/12/1976,4.7,85.8472,27.6467,19
9/29/1976,5,81.4419,29.4255,27
1/6/1977,5,87.9821,31.1815,24
6/20/1977,4.4,83.1044,30.873,10
9/20/1977,4.6,80.9459,29.5006,17
11/4/1977,5,81.1535,29.5052,17
1/1/1978,4.4,81.6492,30.0763,33
2/4/1978,4.4,81.205,29.1336,35
2/10/1978,5.3,84.6532,28.0882,12.9
2/19/1978,4.5,85.103,29.3719,10
2/28/1978,4.7,80.6522,29.2752,19
3/7/1978,4.2,81.3252,29.1915,33
8/13/1978,4.5,85.1637,27.9458,12
10/4/1978,5.2,85.9202,27.7901,15.1
10/23/1978,4.4,86.8963,28.8075,10
12/25/1978,4.7,84.176,28.1118,35
1/1/1979,4.5,82.8229,28.3131,35
5/5/1979,4.2,85.6339,27.1731,35
5/20/1979,5.8,80.3319,29.9634,16.7
6/19/1979,5.3,87.4765,26.6592,12.7
7/3/1979,4.2,84.3152,27.7714,35
11/16/1979,4.9,88.1505,27.4024,10
6/22/1980,5.2,81.6532,30.0799,24.6
7/29/1980,6.1,81.0481,29.58,17.5
7/29/1980,5.8,81.2185,29.2952,8.5
7/29/1980,4.6,81.1444,29.0841,35
7/30/1980,4.9,80.7391,29.5392,17
7/31/1980,4.6,80.8253,29.4185,17
8/4/1980,4.7,80.9173,29.3604,17
8/20/1980,4.5,80.9322,29.3255,17
9/8/1980,4.5,80.3194,29.8456,23
10/8/1980,5,87.7304,31.2226,35
10/10/1980,5,81.0047,29.1774,10
11/18/1980,5,85.2937,29.5689,35
11/20/1980,5,85.2209,29.4451,35
3/6/1981,5.1,80.5915,29.9716,31.8
4/9/1981,4.6,84.6336,28.0328,35
5/15/1981,5.2,81.9254,29.4246,22.7
9/10/1981,4.8,81.1126,29.3297,17
1/23/1982,6.1,82.2471,31.6787,17.3
1/23/1982,4.5,83.016,31.9867,35
1/23/1982,4.4,82.2337,31.3545,35
1/24/1982,4.7,82.2554,31.4239,20
1/24/1982,4.7,82.1984,31.5464,35
1/24/1982,4.5,82.3996,31.6558,35
1/24/1982,4.5,81.9869,31.4766,35
1/24/1982,4.3,82.2905,31.4701,10
1/25/1982,5.1,82.2068,31.57,25
2/4/1982,4.6,82.2065,31.4332,35
2/25/1982,4.5,82.3659,31.5652,20
5/29/1982,4.5,83.2831,28.5413,35
6/10/1982,5,82.3734,31.6145,13.1
8/3/1982,4.7,85.7485,27.833,18
9/9/1982,4.7,82.0599,28.6956,35
9/9/1982,4.6,81.2717,28.5967,10
12/21/1982,4.8,81.4977,29.2411,33
12/21/1982,4.7,81.5016,29.2685,27
1/6/1983,4.7,82.0246,31.3641,35
1/27/1983,4.8,81.3339,29.0394,33
5/20/1983,4.3,80.1717,30.1254,16
8/23/1983,4.6,84.9205,28.1001,12
1/6/1984,4.7,84.8011,27.9114,12
1/25/1984,4.5,85.9953,27.539,19
2/19/1984,5.1,80.5653,29.8707,19.8
3/14/1984,4.9,81.2034,29.1103,35
4/15/1984,5,82.1867,31.7813,15.3
4/22/1984,4.9,84.2544,30.5602,26
5/18/1984,5.5,81.8721,29.4416,22.1
5/19/1984,4.7,81.7966,29.185,40
5/30/1984,4.7,83.9759,28.7379,35
9/15/1984,4.7,81.5237,29.5387,25.7
10/24/1984,4.3,80.2293,29.6257,35
11/23/1984,4.6,81.5632,29.5407,27
12/5/1984,4.7,81.6989,27.3121,10
12/18/1984,4.7,80.7506,29.41,17
1/30/1985,4.8,85.448,30.9332,31.6
2/15/1985,4.5,81.5133,29.8639,33
5/6/1985,4.8,82.374,28.4947,35
6/17/1985,4.7,82.2945,31.5659,35
6/21/1985,4.5,85.0121,31.9127,35
7/12/1985,4.7,82.1994,31.5015,35
7/12/1985,4.5,82.0849,31.4844,35
9/13/1985,4.6,84.0185,29.5883,35
10/21/1985,4.6,83.9134,28.8884,35
10/30/1985,4.5,82.9369,31.65,35
12/8/1985,5,86.464,30.7972,13.9
12/15/1985,4.5,86.2811,30.7529,26
12/23/1985,4.5,85.7274,27.6244,35
1/6/1986,4.7,85.3088,27.805,31.5
1/10/1986,5.5,86.631,28.778,59.6
1/25/1986,4.7,84.924,31.437,35
2/28/1986,4.6,81.6577,29.1489,33
6/20/1986,6.1,86.7831,31.1279,11.8
6/23/1986,4.8,86.6825,31.0232,35
